taxon,feeding_mode,movement_type,movement_speed,movement_duration,activity_quotient
Anthozoa,1,1,1,1,1
Calcarea,1,1,1,1,1
Crinoidea,1,1,1,1,1
Demospongea,1,1,1,1,1
Heteractinida,1,1,1,1,1
Hexactinellida,1,1,1,1,1
Hydrozoa,1,1,1,1,1
Scyphozoa,1,1,1,1,1
Stenolaemata,1,1,1,1,1
Stromatoporoidea,1,1,1,1,1
Disjectoporidae,1,1,1,1,1
Asteroidea,4,3,2,3,2.91295063
Ophiuroidea,4,3,2,3,2.91295063
Cephalopoda,4,6,3,5,4.355877175
Chileata,1,2,2,2,1.681792831
Craniata,1,2,2,2,1.681792831
Echinoidea,3,3,2,4,2.91295063
Edrioasteroidea,1,1,1,1,1
Gastropoda,3,3,2,5,3.080070288
Holothuroidea,3,3,2,3,2.710806011
Hyolitha,2,3,2,2,2.213363839
Hyolithomorpha,2,3,2,2,2.213363839
Linguloidea,1,4,2,2,2
Discinoidea,1,2,2,2,1.681792831
Malacostraca,4,5,3,5,4.16179145
Polyplacophora,3,3,2,3,2.710806011
Rhynchonellata,1,2,2,2,1.681792831
Rostroconchia,2,4,2,2,2.37841423
Scaphopoda,3,4,2,2,2.632148026
Strophomenata,1,2,2,2,1.681792831
Tergomya,3,3,2,3,2.710806011
Trilobita,4,5,3,5,4.16179145
Nuculanida,3,4,2,5,3.30975092
Nuculida,3,4,2,5,3.30975092
Myalinida,2,2,2,2,2
Pectinida,2,2,2,2,2
Mytilida,2,2,2,2,2
Arcida,2,2,2,2,2
Pterioida,2,2,2,2,2
Megalodontida,2,2,2,2,2
Ostreida,2,2,2,2,2
Modiomorphida,2,2,2,2,2
Hippuritida,2,2,2,2,2
Trigoniida,2,4,2,3,2.632148026
Pholadomyida,2,4,2,3,2.632148026
Solemyida,2,4,2,3,2.632148026
Pholadida,2,4,2,3,2.632148026
Carditida,2,4,2,3,2.632148026
Cardiida,2,4,2,3,2.632148026
Unionida,2,4,2,3,2.632148026
Lucinida,2,4,2,3,2.632148026
Hiatellida,2,4,2,3,2.632148026
Pandorida,2,4,2,3,2.632148026
Thraciida,2,4,2,3,2.632148026
Poromyida,2,4,2,3,2.632148026
Solenida,2,4,2,3,2.632148026
Myoida,2,4,2,3,2.632148026
Metacopida,3,3,3,5,3.408658099
Podocopida,3,3,3,5,3.408658099
Platycopida,2,3,3,5,3.080070288
Palaeocopida,2,3,3,5,3.080070288
Myodocopida,3,3,3,5,3.408658099
Halocyprida,3,3,3,5,3.408658099
